City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,antalaha,-14.9003,50.2788,291.7,76,1,3.49,MG,1722567287
329,lobujya,27.95,86.8167,277.94,74,94,1.69,NP,1722567309
330,gaalkacyo,6.7697,47.4308,296.23,69,100,8.69,SO,1722567332
331,vicuna mackenna,-33.9197,-64.3922,290.42,68,75,3.31,AR,1722567354
332,tazovsky,67.4667,78.7,290.36,78,57,4.06,RU,1722567377
333,petropavlovsk-kamchatsky,53.0452,158.6483,297.48,53,40,3.0,RU,1722567400
334,taoudenni,22.6783,-3.9836,309.84,26,73,6.52,ML,1722567422
335,abra pampa,-22.7205,-65.697,278.71,13,0,3.29,AR,1722567445
336,praia,14.9215,-23.5087,298.45,73,20,4.63,CV,1722567468
337,pecan plantation,32.3604,-97.6756,304.53,56,64,3.65,US,1722567490
338,nantucket,41.2835,-70.0995,298.15,88,0,3.09,US,1722567512
339,al manzalah,31.1582,31.937,301.1,77,0,2.66,EG,1722567535
340,vorkuta,67.5,64.0,292.97,69,81,4.58,RU,1722567557
341,anderstorp,58.8833,14.2833,283.31,83,28,1.35,SE,1722567579
342,pariaman,-0.619,100.12,303.18,71,20,1.53,ID,1722567602
343,fort st. john,56.2499,-120.8529,295.09,28,40,7.72,CA,1722567625
344,labytnangi,66.6572,66.4183,290.25,90,99,5.31,RU,1722567648
345,huehuetenango,15.3197,-91.4708,289.67,95,100,1.19,GT,1722567693
346,hadibu,12.65,54.0333,298.57,83,91,10.39,YE,1722567715
347,masterton,-40.9597,175.6575,284.2,90,92,3.6,NZ,1722567738
348,vernon,50.2581,-119.2691,307.89,33,36,1.34,CA,1722567622
349,les avirons,-21.2418,55.3394,291.2,60,100,3.09,RE,1722567782
350,woolgoolga,-30.1106,153.2007,291.08,62,4,8.08,AU,1722567805
351,pemangkat,1.1667,108.9667,298.64,87,100,5.39,ID,1722567850
352,el vigia,8.6219,-71.6506,298.69,68,100,3.17,VE,1722567872
353,am timan,11.0297,20.2827,295.61,93,99,1.45,TD,1722567895
354,dali,25.7,100.1833,293.77,78,67,2.32,CN,1722567918
355,rio gallegos,-51.6226,-69.2181,275.18,100,100,3.6,AR,1722567940
356,agat village,13.3886,144.6585,302.79,86,40,8.75,GU,1722567962
357,ta`u,-14.2336,-169.5144,299.14,66,30,8.68,AS,1722567985
358,egersund,58.4513,5.9997,284.31,82,7,3.24,NO,1722568007
359,kampene,-3.6,26.6667,293.55,44,34,0.73,CD,1722568029
360,paracuru,-3.41,-39.0306,299.88,76,14,6.26,BR,1722568052
361,kargopol',61.5071,38.9456,287.54,89,100,1.54,RU,1722568075
362,paradip garh,20.3167,86.6167,300.56,78,100,7.27,IN,1722568099
363,baldwinsville,43.1587,-76.3327,297.74,88,40,1.54,US,1722568122
